Sampling Year,Management Area(s),ADFG Species Code,Common Name," Genus, species", Specimen Count,Age Bin
1999,CSEO,142,"rockfish, black",Sebastes melanops,66,21-30
1999,CSEO,142,"rockfish, black",Sebastes melanops,3,31-40
1999,CSEO,142,"rockfish, black",Sebastes melanops,1,No Age
1999,CSEO,145,"rockfish, yelloweye",Sebastes ruberrimus,64,20-Nov
1999,CSEO,145,"rockfish, yelloweye",Sebastes ruberrimus,248,21-30
1999,CSEO,145,"rockfish, yelloweye",Sebastes ruberrimus,207,31-40
1999,CSEO,145,"rockfish, yelloweye",Sebastes ruberrimus,107,41-50
1999,CSEO,145,"rockfish, yelloweye",Sebastes ruberrimus,42,51-60
1999,CSEO,145,"rockfish, yelloweye",Sebastes ruberrimus,13,61-70
1999,CSEO,145,"rockfish, yelloweye",Sebastes ruberrimus,11,71-80
1999,CSEO,145,"rockfish, yelloweye",Sebastes ruberrimus,14,81-90
1999,CSEO,145,"rockfish, yelloweye",Sebastes ruberrimus,11,91-100
1999,CSEO,145,"rockfish, yelloweye",Sebastes ruberrimus,5,>100
1999,CSEO,145,"rockfish, yelloweye",Sebastes ruberrimus,14,No Age
1999,CSEO,147,"rockfish, quillback",Sebastes maliger,2,0-10
1999,CSEO,147,"rockfish, quillback",Sebastes maliger,197,20-Nov
1999,CSEO,147,"rockfish, quillback",Sebastes maliger,234,21-30
1999,CSEO,147,"rockfish, quillback",Sebastes maliger,132,31-40
1999,CSEO,147,"rockfish, quillback",Sebastes maliger,85,41-50
1999,CSEO,147,"rockfish, quillback",Sebastes maliger,48,51-60
1999,CSEO,147,"rockfish, quillback",Sebastes maliger,24,61-70
1999,CSEO,147,"rockfish, quillback",Sebastes maliger,2,71-80
1999,CSEO,147,"rockfish, quillback",Sebastes maliger,1,81-90
1999,EG,157,"rockfish, silvergray",Sebastes brevispinis,237,No Age
1999,EG,166,"rockfish, sharpchin",Sebastes zacentrus,329,No Age
1999,EG,176,"rockfish, harlequin",Sebastes variegatus,100,No Age
1999,EYKT,130,lingcod,Ophiodon elongatus,8,0-10
1999,EYKT,130,lingcod,Ophiodon elongatus,93,20-Nov
1999,EYKT,130,lingcod,Ophiodon elongatus,16,21-30
1999,EYKT,130,lingcod,Ophiodon elongatus,2,31-40
1999,EYKT,145,"rockfish, yelloweye",Sebastes ruberrimus,2,20-Nov
1999,EYKT,145,"rockfish, yelloweye",Sebastes ruberrimus,50,21-30
1999,EYKT,145,"rockfish, yelloweye",Sebastes ruberrimus,126,31-40
1999,EYKT,145,"rockfish, yelloweye",Sebastes ruberrimus,99,41-50
1999,EYKT,145,"rockfish, yelloweye",Sebastes ruberrimus,44,51-60
1999,EYKT,145,"rockfish, yelloweye",Sebastes ruberrimus,12,61-70
1999,EYKT,145,"rockfish, yelloweye",Sebastes ruberrimus,16,71-80
1999,EYKT,145,"rockfish, yelloweye",Sebastes ruberrimus,10,81-90
1999,EYKT,145,"rockfish, yelloweye",Sebastes ruberrimus,1,91-100
1999,EYKT,147,"rockfish, quillback",Sebastes maliger,13,20-Nov
1999,EYKT,147,"rockfish, quillback",Sebastes maliger,23,21-30
1999,EYKT,147,"rockfish, quillback",Sebastes maliger,17,31-40
1999,EYKT,147,"rockfish, quillback",Sebastes maliger,29,41-50
1999,EYKT,147,"rockfish, quillback",Sebastes maliger,17,51-60
1999,EYKT,147,"rockfish, quillback",Sebastes maliger,20,61-70
1999,NG,110,"cod, Pacific",Gadus macrocephalus,404,No Age
1999,NG,137,"rockfish, bocaccio",Sebastes paucispinis,1,0-10
1999,NG,137,"rockfish, bocaccio",Sebastes paucispinis,10,20-Nov
1999,NG,137,"rockfish, bocaccio",Sebastes paucispinis,2,21-30
1999,NG,137,"rockfish, bocaccio",Sebastes paucispinis,2,31-40
1999,NG,137,"rockfish, bocaccio",Sebastes paucispinis,14,No Age
1999,NG,139,"rockfish, other",Sebastes unspecified,1,21-30
1999,NG,141,"perch, Pacific ocean",Sebastes alutus,2,21-30
1999,NG,141,"perch, Pacific ocean",Sebastes alutus,1,31-40
1999,NG,141,"perch, Pacific ocean",Sebastes alutus,2,No Age
1999,NG,142,"rockfish, black",Sebastes melanops,4,20-Nov
1999,NG,142,"rockfish, black",Sebastes melanops,1,21-30
1999,NG,142,"rockfish, black",Sebastes melanops,55,No Age
1999,NG,143,"rockfish, thornyhead",Sebastolobus,6,20-Nov
1999,NG,143,"rockfish, thornyhead",Sebastolobus,3,21-30
1999,NG,143,"rockfish, thornyhead",Sebastolobus,4,No Age
1999,NG,145,"rockfish, yelloweye",Sebastes ruberrimus,1,20-Nov
1999,NG,145,"rockfish, yelloweye",Sebastes ruberrimus,1,21-30
1999,NG,145,"rockfish, yelloweye",Sebastes ruberrimus,1,31-40
1999,NG,145,"rockfish, yelloweye",Sebastes ruberrimus,26,No Age
1999,NG,146,"rockfish, canary",Sebastes pinniger,2,20-Nov
1999,NG,146,"rockfish, canary",Sebastes pinniger,3,No Age
1999,NG,147,"rockfish, quillback",Sebastes maliger,1,20-Nov
1999,NG,147,"rockfish, quillback",Sebastes maliger,1,21-30
1999,NG,147,"rockfish, quillback",Sebastes maliger,2,31-40
1999,NG,147,"rockfish, quillback",Sebastes maliger,17,No Age
1999,NG,148,"rockfish, tiger",Sebastes nigrocinctus,1,21-30
1999,NG,148,"rockfish, tiger",Sebastes nigrocinctus,2,No Age
1999,NG,149,"rockfish, china",Sebastes nebulosus,3,No Age
1999,NG,151,"rockfish, rougheye",Sebastes aleutianus,20,20-Nov
1999,NG,151,"rockfish, rougheye",Sebastes aleutianus,10,21-30
1999,NG,151,"rockfish, rougheye",Sebastes aleutianus,3,31-40
1999,NG,151,"rockfish, rougheye",Sebastes aleutianus,2,41-50
1999,NG,151,"rockfish, rougheye",Sebastes aleutianus,1,51-60
1999,NG,151,"rockfish, rougheye",Sebastes aleutianus,17,No Age
1999,NG,152,"rockfish, shortraker",Sebastes borealis,2,20-Nov
1999,NG,152,"rockfish, shortraker",Sebastes borealis,1,21-30
1999,NG,152,"rockfish, shortraker",Sebastes borealis,1,41-50
1999,NG,152,"rockfish, shortraker",Sebastes borealis,7,No Age
1999,NG,153,"rockfish, redbanded",Sebastes babcocki,2,No Age
1999,NG,154,"rockfish, dusky",Sebastes ciliatus,2,20-Nov
1999,NG,154,"rockfish, dusky",Sebastes ciliatus,1,31-40
1999,NG,154,"rockfish, dusky",Sebastes ciliatus,11,No Age
1999,NG,157,"rockfish, silvergray",Sebastes brevispinis,2,0-10
1999,NG,157,"rockfish, silvergray",Sebastes brevispinis,6,20-Nov
1999,NG,157,"rockfish, silvergray",Sebastes brevispinis,12,No Age
1999,NG,158,"rockfish, redstripe",Sebastes proriger,1,21-30
1999,NG,158,"rockfish, redstripe",Sebastes proriger,5,No Age
1999,NG,270,walleye pollock,Gadus chalcogrammus,2,20-Nov
1999,NG,270,walleye pollock,Gadus chalcogrammus,592,No Age
1999,NG,710,sablefish,Anoplopoma fimbria,13,0-10
1999,NG,710,sablefish,Anoplopoma fimbria,2,20-Nov
1999,NG,710,sablefish,Anoplopoma fimbria,67,No Age
1999,NSEI,110,"cod, Pacific",Gadus macrocephalus,405,No Age
1999,NSEI,130,lingcod,Ophiodon elongatus,16,0-10
1999,NSEI,130,lingcod,Ophiodon elongatus,5,20-Nov
1999,NSEI,145,"rockfish, yelloweye",Sebastes ruberrimus,3,20-Nov
1999,NSEI,145,"rockfish, yelloweye",Sebastes ruberrimus,22,21-30
1999,NSEI,145,"rockfish, yelloweye",Sebastes ruberrimus,14,31-40
1999,NSEI,145,"rockfish, yelloweye",Sebastes ruberrimus,5,41-50
1999,NSEI,145,"rockfish, yelloweye",Sebastes ruberrimus,2,51-60
1999,NSEI,147,"rockfish, quillback",Sebastes maliger,3,0-10
1999,NSEI,147,"rockfish, quillback",Sebastes maliger,69,20-Nov
1999,NSEI,147,"rockfish, quillback",Sebastes maliger,79,21-30
1999,NSEI,147,"rockfish, quillback",Sebastes maliger,118,31-40
1999,NSEI,147,"rockfish, quillback",Sebastes maliger,36,41-50
1999,NSEI,147,"rockfish, quillback",Sebastes maliger,28,51-60
1999,NSEI,147,"rockfish, quillback",Sebastes maliger,18,61-70
1999,NSEI,147,"rockfish, quillback",Sebastes maliger,9,71-80
1999,NSEI,151,"rockfish, rougheye",Sebastes aleutianus,162,No Age
1999,NSEI,710,sablefish,Anoplopoma fimbria,69,0-10
1999,NSEI,710,sablefish,Anoplopoma fimbria,367,No Age
1999,PW,110,"cod, Pacific",Gadus macrocephalus,7,0-10
1999,PW,110,"cod, Pacific",Gadus macrocephalus,33,20-Nov
1999,PW,110,"cod, Pacific",Gadus macrocephalus,3,21-30
1999,PW,110,"cod, Pacific",Gadus macrocephalus,323,No Age
1999,PW,139,"rockfish, other",Sebastes unspecified,1,No Age
1999,PW,141,"perch, Pacific ocean",Sebastes alutus,3,No Age
1999,PW,143,"rockfish, thornyhead",Sebastolobus,1,0-10
1999,PW,143,"rockfish, thornyhead",Sebastolobus,11,20-Nov
1999,PW,143,"rockfish, thornyhead",Sebastolobus,8,21-30
1999,PW,143,"rockfish, thornyhead",Sebastolobus,10,31-40
1999,PW,143,"rockfish, thornyhead",Sebastolobus,7,41-50
1999,PW,143,"rockfish, thornyhead",Sebastolobus,5,51-60
1999,PW,143,"rockfish, thornyhead",Sebastolobus,5,61-70
1999,PW,143,"rockfish, thornyhead",Sebastolobus,7,71-80
1999,PW,143,"rockfish, thornyhead",Sebastolobus,3,81-90
1999,PW,143,"rockfish, thornyhead",Sebastolobus,1,91-100
1999,PW,143,"rockfish, thornyhead",Sebastolobus,1,>100
1999,PW,143,"rockfish, thornyhead",Sebastolobus,1,No Age
1999,PW,145,"rockfish, yelloweye",Sebastes ruberrimus,3,No Age
1999,PW,151,"rockfish, rougheye",Sebastes aleutianus,99,0-10
1999,PW,151,"rockfish, rougheye",Sebastes aleutianus,185,20-Nov
1999,PW,151,"rockfish, rougheye",Sebastes aleutianus,69,21-30
1999,PW,151,"rockfish, rougheye",Sebastes aleutianus,31,31-40
1999,PW,151,"rockfish, rougheye",Sebastes aleutianus,33,41-50
1999,PW,151,"rockfish, rougheye",Sebastes aleutianus,6,51-60
1999,PW,151,"rockfish, rougheye",Sebastes aleutianus,2,61-70
1999,PW,151,"rockfish, rougheye",Sebastes aleutianus,3,71-80
1999,PW,151,"rockfish, rougheye",Sebastes aleutianus,2,81-90
1999,PW,151,"rockfish, rougheye",Sebastes aleutianus,14,No Age
1999,PW,152,"rockfish, shortraker",Sebastes borealis,18,20-Nov
1999,PW,152,"rockfish, shortraker",Sebastes borealis,82,21-30
1999,PW,152,"rockfish, shortraker",Sebastes borealis,28,31-40
1999,PW,152,"rockfish, shortraker",Sebastes borealis,31,41-50
1999,PW,152,"rockfish, shortraker",Sebastes borealis,33,51-60
1999,PW,152,"rockfish, shortraker",Sebastes borealis,24,61-70
1999,PW,152,"rockfish, shortraker",Sebastes borealis,16,71-80
1999,PW,152,"rockfish, shortraker",Sebastes borealis,6,81-90
1999,PW,152,"rockfish, shortraker",Sebastes borealis,7,91-100
1999,PW,152,"rockfish, shortraker",Sebastes borealis,10,>100
1999,PW,152,"rockfish, shortraker",Sebastes borealis,3,No Age
1999,PW,153,"rockfish, redbanded",Sebastes babcocki,1,0-10
1999,PW,153,"rockfish, redbanded",Sebastes babcocki,5,21-30
1999,PW,153,"rockfish, redbanded",Sebastes babcocki,2,31-40
1999,PW,157,"rockfish, silvergray",Sebastes brevispinis,1,20-Nov
1999,PW,211,wrymouths,familyCryptacanthodidae,2,20-Nov
1999,PW,211,wrymouths,familyCryptacanthodidae,3,21-30
1999,PW,270,walleye pollock,Gadus chalcogrammus,46,0-10
1999,PW,270,walleye pollock,Gadus chalcogrammus,186,20-Nov
1999,PW,270,walleye pollock,Gadus chalcogrammus,46,21-30
1999,PW,270,walleye pollock,Gadus chalcogrammus,2,31-40
1999,PW,270,walleye pollock,Gadus chalcogrammus,851,No Age
1999,PW,710,sablefish,Anoplopoma fimbria,456,0-10
1999,PW,710,sablefish,Anoplopoma fimbria,12,20-Nov
1999,PW,710,sablefish,Anoplopoma fimbria,31,No Age
1999,SSEI,145,"rockfish, yelloweye",Sebastes ruberrimus,4,20-Nov
1999,SSEI,145,"rockfish, yelloweye",Sebastes ruberrimus,17,21-30
1999,SSEI,145,"rockfish, yelloweye",Sebastes ruberrimus,9,31-40
1999,SSEI,145,"rockfish, yelloweye",Sebastes ruberrimus,9,41-50
1999,SSEI,145,"rockfish, yelloweye",Sebastes ruberrimus,7,51-60
1999,SSEI,145,"rockfish, yelloweye",Sebastes ruberrimus,8,61-70
1999,SSEI,145,"rockfish, yelloweye",Sebastes ruberrimus,4,71-80
1999,SSEI,145,"rockfish, yelloweye",Sebastes ruberrimus,1,81-90
1999,SSEI,145,"rockfish, yelloweye",Sebastes ruberrimus,1,91-100
1999,SSEI,147,"rockfish, quillback",Sebastes maliger,61,20-Nov
1999,SSEI,147,"rockfish, quillback",Sebastes maliger,30,21-30
1999,SSEI,147,"rockfish, quillback",Sebastes maliger,22,31-40
1999,SSEI,147,"rockfish, quillback",Sebastes maliger,7,41-50
1999,SSEI,147,"rockfish, quillback",Sebastes maliger,15,51-60
1999,SSEI,147,"rockfish, quillback",Sebastes maliger,11,61-70
1999,SSEI,147,"rockfish, quillback",Sebastes maliger,8,71-80
1999,SSEI,147,"rockfish, quillback",Sebastes maliger,2,81-90
1999,SSEI,710,sablefish,Anoplopoma fimbria,385,0-10
1999,SSEI,710,sablefish,Anoplopoma fimbria,5,20-Nov
1999,SSEI,710,sablefish,Anoplopoma fimbria,1,21-30
1999,SSEI,710,sablefish,Anoplopoma fimbria,612,No Age
1999,"SSEI, SSEO",145,"rockfish, yelloweye",Sebastes ruberrimus,2,20-Nov
1999,"SSEI, SSEO",145,"rockfish, yelloweye",Sebastes ruberrimus,4,21-30
1999,"SSEI, SSEO",145,"rockfish, yelloweye",Sebastes ruberrimus,7,31-40
1999,"SSEI, SSEO",145,"rockfish, yelloweye",Sebastes ruberrimus,8,41-50
1999,"SSEI, SSEO",145,"rockfish, yelloweye",Sebastes ruberrimus,3,51-60
1999,"SSEI, SSEO",145,"rockfish, yelloweye",Sebastes ruberrimus,1,71-80
1999,"SSEI, SSEO",147,"rockfish, quillback",Sebastes maliger,12,20-Nov
1999,"SSEI, SSEO",147,"rockfish, quillback",Sebastes maliger,7,21-30
1999,"SSEI, SSEO",147,"rockfish, quillback",Sebastes maliger,2,31-40
1999,"SSEI, SSEO",147,"rockfish, quillback",Sebastes maliger,3,41-50
1999,"SSEI, SSEO",147,"rockfish, quillback",Sebastes maliger,4,51-60
1999,"SSEI, SSEO",147,"rockfish, quillback",Sebastes maliger,4,61-70
1999,SSEO,142,"rockfish, black",Sebastes melanops,1,0-10
1999,SSEO,142,"rockfish, black",Sebastes melanops,5,20-Nov
1999,SSEO,142,"rockfish, black",Sebastes melanops,6,21-30
1999,SSEO,142,"rockfish, black",Sebastes melanops,2,31-40
1999,SSEO,142,"rockfish, black",Sebastes melanops,1,51-60
1999,SSEO,142,"rockfish, black",Sebastes melanops,1,No Age
1999,SSEO,145,"rockfish, yelloweye",Sebastes ruberrimus,52,20-Nov
1999,SSEO,145,"rockfish, yelloweye",Sebastes ruberrimus,84,21-30
1999,SSEO,145,"rockfish, yelloweye",Sebastes ruberrimus,57,31-40
1999,SSEO,145,"rockfish, yelloweye",Sebastes ruberrimus,76,41-50
1999,SSEO,145,"rockfish, yelloweye",Sebastes ruberrimus,44,51-60
1999,SSEO,145,"rockfish, yelloweye",Sebastes ruberrimus,17,61-70
1999,SSEO,145,"rockfish, yelloweye",Sebastes ruberrimus,16,71-80
1999,SSEO,145,"rockfish, yelloweye",Sebastes ruberrimus,3,81-90
1999,SSEO,145,"rockfish, yelloweye",Sebastes ruberrimus,4,91-100
1999,SSEO,145,"rockfish, yelloweye",Sebastes ruberrimus,4,>100
1999,SSEO,147,"rockfish, quillback",Sebastes maliger,1,0-10
1999,SSEO,147,"rockfish, quillback",Sebastes maliger,67,20-Nov
1999,SSEO,147,"rockfish, quillback",Sebastes maliger,64,21-30
1999,SSEO,147,"rockfish, quillback",Sebastes maliger,30,31-40
1999,SSEO,147,"rockfish, quillback",Sebastes maliger,45,41-50
1999,SSEO,147,"rockfish, quillback",Sebastes maliger,56,51-60
1999,SSEO,147,"rockfish, quillback",Sebastes maliger,30,61-70
1999,SSEO,147,"rockfish, quillback",Sebastes maliger,19,71-80
1999,SSEO,147,"rockfish, quillback",Sebastes maliger,4,81-90
1999,,110,"cod, Pacific",Gadus macrocephalus,1,21-30
1999,,130,lingcod,Ophiodon elongatus,19,0-10
1999,,130,lingcod,Ophiodon elongatus,1,20-Nov
1999,,130,lingcod,Ophiodon elongatus,19,No Age
1999,,142,"rockfish, black",Sebastes melanops,34,0-10
1999,,142,"rockfish, black",Sebastes melanops,39,20-Nov
1999,,142,"rockfish, black",Sebastes melanops,9,21-30
1999,,142,"rockfish, black",Sebastes melanops,3,No Age
1999,,143,"rockfish, thornyhead",Sebastolobus,5,20-Nov
1999,,145,"rockfish, yelloweye",Sebastes ruberrimus,3,20-Nov
1999,,145,"rockfish, yelloweye",Sebastes ruberrimus,16,21-30
1999,,145,"rockfish, yelloweye",Sebastes ruberrimus,3,31-40
1999,,145,"rockfish, yelloweye",Sebastes ruberrimus,5,41-50
1999,,145,"rockfish, yelloweye",Sebastes ruberrimus,6,51-60
1999,,145,"rockfish, yelloweye",Sebastes ruberrimus,10,61-70
1999,,145,"rockfish, yelloweye",Sebastes ruberrimus,8,71-80
1999,,145,"rockfish, yelloweye",Sebastes ruberrimus,3,81-90
1999,,145,"rockfish, yelloweye",Sebastes ruberrimus,2,91-100
1999,,145,"rockfish, yelloweye",Sebastes ruberrimus,2,>100
1999,,147,"rockfish, quillback",Sebastes maliger,3,0-10
1999,,147,"rockfish, quillback",Sebastes maliger,24,20-Nov
1999,,147,"rockfish, quillback",Sebastes maliger,15,21-30
1999,,147,"rockfish, quillback",Sebastes maliger,4,31-40
1999,,147,"rockfish, quillback",Sebastes maliger,1,41-50
1999,,147,"rockfish, quillback",Sebastes maliger,1,51-60
1999,,147,"rockfish, quillback",Sebastes maliger,1,71-80
1999,,147,"rockfish, quillback",Sebastes maliger,1,81-90
1999,,151,"rockfish, rougheye",Sebastes aleutianus,19,20-Nov
1999,,151,"rockfish, rougheye",Sebastes aleutianus,7,21-30
1999,,151,"rockfish, rougheye",Sebastes aleutianus,1,31-40
1999,,154,"rockfish, dusky",Sebastes ciliatus,5,0-10
1999,,154,"rockfish, dusky",Sebastes ciliatus,7,20-Nov
1999,,154,"rockfish, dusky",Sebastes ciliatus,1,21-30
1999,,270,walleye pollock,Gadus chalcogrammus,9,0-10
1999,,270,walleye pollock,Gadus chalcogrammus,8,20-Nov
1999,,270,walleye pollock,Gadus chalcogrammus,2,21-30
1999,,710,sablefish,Anoplopoma fimbria,16,0-10
1999,,710,sablefish,Anoplopoma fimbria,1,21-30
2000,CI,110,"cod, Pacific",Gadus macrocephalus,31,0-10
2000,CI,110,"cod, Pacific",Gadus macrocephalus,61,20-Nov
2000,CI,110,"cod, Pacific",Gadus macrocephalus,6,21-30
2000,CI,110,"cod, Pacific",Gadus macrocephalus,1397,No Age
2000,CI,130,lingcod,Ophiodon elongatus,19,No Age
2000,CI,136,"rockfish, northern",Sebastes polyspinis,1,No Age
2000,CI,145,"rockfish, yelloweye",Sebastes ruberrimus,3,0-10
2000,CI,145,"rockfish, yelloweye",Sebastes ruberrimus,4,21-30
2000,CI,145,"rockfish, yelloweye",Sebastes ruberrimus,5,31-40
2000,CI,145,"rockfish, yelloweye",Sebastes ruberrimus,3,41-50
2000,CI,151,"rockfish, rougheye",Sebastes aleutianus,103,0-10
2000,CI,151,"rockfish, rougheye",Sebastes aleutianus,1,No Age
2000,CI,153,"rockfish, redbanded",Sebastes babcocki,13,0-10
2000,CI,153,"rockfish, redbanded",Sebastes babcocki,1,20-Nov
2000,CI,154,"rockfish, dusky",Sebastes ciliatus,77,0-10
2000,CI,154,"rockfish, dusky",Sebastes ciliatus,3,20-Nov
2000,CI,154,"rockfish, dusky",Sebastes ciliatus,24,No Age
2000,CI,270,walleye pollock,Gadus chalcogrammus,323,0-10
2000,CI,270,walleye pollock,Gadus chalcogrammus,234,20-Nov
2000,CI,270,walleye pollock,Gadus chalcogrammus,8,21-30
2000,CI,270,walleye pollock,Gadus chalcogrammus,2,31-40
2000,CI,270,walleye pollock,Gadus chalcogrammus,24,No Age
2000,CI,310,Macroalgae - green algae,orderUlotrichales,21,No Age
2000,CI,710,sablefish,Anoplopoma fimbria,14,0-10
2000,CI,710,sablefish,Anoplopoma fimbria,17,No Age
2000,CSEO,130,lingcod,Ophiodon elongatus,77,0-10
2000,CSEO,130,lingcod,Ophiodon elongatus,194,20-Nov
2000,CSEO,130,lingcod,Ophiodon elongatus,31,21-30
2000,CSEO,130,lingcod,Ophiodon elongatus,3,31-40
2000,CSEO,142,"rockfish, black",Sebastes melanops,160,0-10
2000,CSEO,142,"rockfish, black",Sebastes melanops,234,20-Nov
2000,CSEO,142,"rockfish, black",Sebastes melanops,136,21-30
2000,CSEO,142,"rockfish, black",Sebastes melanops,11,31-40
2000,CSEO,142,"rockfish, black",Sebastes melanops,2,41-50
2000,CSEO,145,"rockfish, yelloweye",Sebastes ruberrimus,1,0-10
2000,CSEO,145,"rockfish, yelloweye",Sebastes ruberrimus,13,20-Nov
2000,CSEO,145,"rockfish, yelloweye",Sebastes ruberrimus,54,21-30
2000,CSEO,145,"rockfish, yelloweye",Sebastes ruberrimus,66,31-40
2000,CSEO,145,"rockfish, yelloweye",Sebastes ruberrimus,13,41-50
2000,CSEO,145,"rockfish, yelloweye",Sebastes ruberrimus,14,51-60
2000,CSEO,145,"rockfish, yelloweye",Sebastes ruberrimus,2,61-70
2000,CSEO,145,"rockfish, yelloweye",Sebastes ruberrimus,4,71-80
2000,CSEO,145,"rockfish, yelloweye",Sebastes ruberrimus,4,81-90
2000,CSEO,147,"rockfish, quillback",Sebastes maliger,25,20-Nov
2000,CSEO,147,"rockfish, quillback",Sebastes maliger,44,21-30
2000,CSEO,147,"rockfish, quillback",Sebastes maliger,23,31-40
2000,CSEO,147,"rockfish, quillback",Sebastes maliger,12,41-50
2000,CSEO,147,"rockfish, quillback",Sebastes maliger,8,51-60
2000,CSEO,147,"rockfish, quillback",Sebastes maliger,3,61-70
2000,CSEO,154,"rockfish, dusky",Sebastes ciliatus,2,0-10
2000,CSEO,154,"rockfish, dusky",Sebastes ciliatus,149,20-Nov
2000,CSEO,154,"rockfish, dusky",Sebastes ciliatus,110,21-30
2000,CSEO,154,"rockfish, dusky",Sebastes ciliatus,14,31-40
2000,CSEO,154,"rockfish, dusky",Sebastes ciliatus,4,41-50
2000,EG,270,walleye pollock,Gadus chalcogrammus,97,0-10
2000,EG,270,walleye pollock,Gadus chalcogrammus,3,20-Nov
2000,EYKT,130,lingcod,Ophiodon elongatus,5,0-10
2000,EYKT,130,lingcod,Ophiodon elongatus,101,20-Nov
2000,EYKT,130,lingcod,Ophiodon elongatus,48,21-30
2000,EYKT,130,lingcod,Ophiodon elongatus,3,31-40
2000,EYKT,130,lingcod,Ophiodon elongatus,48,No Age
2000,EYKT,145,"rockfish, yelloweye",Sebastes ruberrimus,27,20-Nov
2000,EYKT,145,"rockfish, yelloweye",Sebastes ruberrimus,79,21-30
2000,EYKT,145,"rockfish, yelloweye",Sebastes ruberrimus,182,31-40
2000,EYKT,145,"rockfish, yelloweye",Sebastes ruberrimus,110,41-50
2000,EYKT,145,"rockfish, yelloweye",Sebastes ruberrimus,36,51-60
2000,EYKT,145,"rockfish, yelloweye",Sebastes ruberrimus,12,61-70
2000,EYKT,145,"rockfish, yelloweye",Sebastes ruberrimus,9,71-80
2000,EYKT,145,"rockfish, yelloweye",Sebastes ruberrimus,13,81-90
2000,EYKT,145,"rockfish, yelloweye",Sebastes ruberrimus,9,91-100
2000,EYKT,145,"rockfish, yelloweye",Sebastes ruberrimus,4,>100
2000,EYKT,147,"rockfish, quillback",Sebastes maliger,4,20-Nov
2000,EYKT,147,"rockfish, quillback",Sebastes maliger,8,21-30
2000,EYKT,147,"rockfish, quillback",Sebastes maliger,3,31-40
2000,EYKT,147,"rockfish, quillback",Sebastes maliger,19,41-50
2000,EYKT,147,"rockfish, quillback",Sebastes maliger,13,51-60
2000,EYKT,147,"rockfish, quillback",Sebastes maliger,5,61-70
2000,EYKT,147,"rockfish, quillback",Sebastes maliger,4,71-80
2000,EYKT,148,"rockfish, tiger",Sebastes nigrocinctus,1,31-40
2000,EYKT,150,"rockfish, rosethorn",Sebastes helvomaculatus,1,20-Nov
2000,EYKT,154,"rockfish, dusky",Sebastes ciliatus,1,0-10
2000,EYKT,154,"rockfish, dusky",Sebastes ciliatus,24,20-Nov
2000,EYKT,154,"rockfish, dusky",Sebastes ciliatus,13,21-30
2000,EYKT,154,"rockfish, dusky",Sebastes ciliatus,2,31-40
2000,EYKT,156,"rockfish, widow",Sebastes entomelas,1,31-40
2000,NG,110,"cod, Pacific",Gadus macrocephalus,4,0-10
2000,NG,110,"cod, Pacific",Gadus macrocephalus,490,No Age
2000,NG,142,"rockfish, black",Sebastes melanops,107,0-10
2000,NG,142,"rockfish, black",Sebastes melanops,34,20-Nov
2000,NG,142,"rockfish, black",Sebastes melanops,14,21-30
2000,NG,142,"rockfish, black",Sebastes melanops,1,31-40
2000,NG,142,"rockfish, black",Sebastes melanops,5,No Age
2000,NG,145,"rockfish, yelloweye",Sebastes ruberrimus,6,20-Nov
2000,NG,145,"rockfish, yelloweye",Sebastes ruberrimus,6,21-30
2000,NG,145,"rockfish, yelloweye",Sebastes ruberrimus,8,31-40
2000,NG,145,"rockfish, yelloweye",Sebastes ruberrimus,5,41-50
2000,NG,145,"rockfish, yelloweye",Sebastes ruberrimus,6,51-60
2000,NG,145,"rockfish, yelloweye",Sebastes ruberrimus,5,61-70
2000,NG,146,"rockfish, canary",Sebastes pinniger,2,No Age
2000,NG,147,"rockfish, quillback",Sebastes maliger,7,20-Nov
2000,NG,147,"rockfish, quillback",Sebastes maliger,7,21-30
2000,NG,147,"rockfish, quillback",Sebastes maliger,2,31-40
2000,NG,147,"rockfish, quillback",Sebastes maliger,1,41-50
2000,NG,147,"rockfish, quillback",Sebastes maliger,3,No Age
2000,NG,148,"rockfish, tiger",Sebastes nigrocinctus,1,31-40
2000,NG,151,"rockfish, rougheye",Sebastes aleutianus,11,0-10
2000,NG,151,"rockfish, rougheye",Sebastes aleutianus,23,20-Nov
2000,NG,151,"rockfish, rougheye",Sebastes aleutianus,1,21-30
2000,NG,151,"rockfish, rougheye",Sebastes aleutianus,1,31-40
2000,NG,151,"rockfish, rougheye",Sebastes aleutianus,1,61-70
2000,NG,152,"rockfish, shortraker",Sebastes borealis,2,No Age
2000,NG,153,"rockfish, redbanded",Sebastes babcocki,1,31-40
2000,NG,154,"rockfish, dusky",Sebastes ciliatus,3,0-10
2000,NG,154,"rockfish, dusky",Sebastes ciliatus,8,20-Nov
2000,NG,154,"rockfish, dusky",Sebastes ciliatus,4,21-30
2000,NG,154,"rockfish, dusky",Sebastes ciliatus,1,31-40
2000,NG,154,"rockfish, dusky",Sebastes ciliatus,1,41-50
2000,NG,154,"rockfish, dusky",Sebastes ciliatus,5,No Age
2000,NG,157,"rockfish, silvergray",Sebastes brevispinis,1,0-10
2000,NG,157,"rockfish, silvergray",Sebastes brevispinis,1,20-Nov
2000,NG,270,walleye pollock,Gadus chalcogrammus,7,0-10
2000,NG,270,walleye pollock,Gadus chalcogrammus,9,20-Nov
2000,NG,270,walleye pollock,Gadus chalcogrammus,1,No Age
